month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,date,sentiment,observation_date,UNRATE,publication_Business Insider,publication_Buzzfeed News,publication_CNBC,publication_CNN,publication_Economist,publication_Fox News,publication_Gizmodo,publication_Hyperallergic,publication_Mashable,publication_New Republic,publication_New Yorker,publication_People,publication_Politico,publication_Refinery 29,publication_Reuters,publication_TMZ,publication_TechCrunch,publication_The Hill,publication_The New York Times,publication_The Verge,publication_Vice,publication_Vice News,publication_Vox,publication_Washington Post,publication_Wired
2016-01-01,0.0961538461538461,0.1923076923076923,0.1538461538461538,0.0192307692307692,0.1346153846153846,0.25,0.0,0.0384615384615384,0.0,0.1153846153846153,2016-01-31,-0.3323657474596047,2016-01-01,4.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.0168067226890756,0.042016806722689,0.134453781512605,0.0504201680672268,0.0588235294117647,0.5882352941176471,0.0084033613445378,0.0588235294117647,0.0,0.042016806722689,2016-01-31,-0.3597597597595436,2016-01-01,4.8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.1,0.05,0.0166666666666666,0.4111111111111111,0.2666666666666666,0.0277777777777777,0.0166666666666666,0.1055555555555555,0.0,0.0055555555555555,2016-01-31,-0.4536340852128904,2016-01-01,4.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.0616740088105726,0.1541850220264317,0.0748898678414096,0.0616740088105726,0.2731277533039647,0.1894273127753304,0.0088105726872246,0.0748898678414096,0.0704845814977973,0.0308370044052863,2016-01-31,-0.4493644936448442,2016-01-01,4.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.036144578313253,0.3283132530120481,0.3072289156626506,0.0060240963855421,0.0150602409638554,0.0210843373493975,0.0,0.0873493975903614,0.0,0.1987951807228915,2016-01-31,-0.1711229946523301,2016-01-01,4.8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.0,0.9310344827586208,0.0,0.0,0.0049261083743842,0.0,0.0541871921182266,0.0049261083743842,0.0,0.0049261083743842,2016-01-31,-0.2978036175709632,2016-01-01,4.8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.3414634146341463,0.2134146341463414,0.1463414634146341,0.0518292682926829,0.0823170731707317,0.0274390243902439,0.0152439024390243,0.0640243902439024,0.0,0.0579268292682926,2016-01-31,-0.2024062278838632,2016-01-01,4.8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.2173174872665534,0.098471986417657,0.0169779286926994,0.4312393887945671,0.1426146010186757,0.0237691001697792,0.0237691001697792,0.0288624787775891,0.0,0.0169779286926994,2016-01-31,-0.4154595564670663,2016-01-01,4.8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.2258064516129032,0.6236559139784946,0.010752688172043,0.053763440860215,0.043010752688172,0.010752688172043,0.010752688172043,0.010752688172043,0.010752688172043,0.0,2016-01-31,-0.4153705397986241,2016-01-01,4.8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.7681159420289855,0.0917874396135265,0.0096618357487922,0.0289855072463768,0.072463768115942,0.0,0.0048309178743961,0.0096618357487922,0.0144927536231884,0.0,2016-01-31,-0.2862926547135417,2016-01-01,4.8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.0042735042735042,0.0042735042735042,0.0085470085470085,0.8247863247863247,0.1025641025641025,0.0042735042735042,0.0384615384615384,0.0042735042735042,0.0,0.0085470085470085,2016-01-31,-0.4707952146374687,2016-01-01,4.8,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.5534591194968553,0.2452830188679245,0.050314465408805,0.0440251572327044,0.0566037735849056,0.0062893081761006,0.0,0.0377358490566037,0.0,0.0062893081761006,2016-01-31,-0.1994198694704863,2016-01-01,4.8,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.1012658227848101,0.0126582278481012,0.0569620253164556,0.0316455696202531,0.2341772151898734,0.4873417721518987,0.0,0.0379746835443038,0.0063291139240506,0.0316455696202531,2016-01-31,-0.4996628455829402,2016-01-01,4.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-01,0.8605769230769231,0.048076923076923,0.0096153846153846,0.0144230769230769,0.0432692307692307,0.0,0.0,0.0240384615384615,0.0,0.0,2016-01-31,-0.6165289256188157,2016-01-01,4.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-01-01,0.0360824742268041,0.0309278350515463,0.6391752577319587,0.0,0.0206185567010309,0.1597938144329896,0.0,0.0154639175257731,0.0,0.0979381443298969,2016-01-31,-0.0086313193588127,2016-01-01,4.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-01-01,0.0,0.0,0.037037037037037,0.6666666666666666,0.1666666666666666,0.0679012345679012,0.0123456790123456,0.0246913580246913,0.0,0.0246913580246913,2016-01-31,-0.4538893344023841,2016-01-01,4.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-01-01,0.2412587412587412,0.1818181818181818,0.0244755244755244,0.1328671328671328,0.1573426573426573,0.0804195804195804,0.0104895104895104,0.0734265734265734,0.0839160839160839,0.0139860139860139,2016-01-31,-0.412981298129722,2016-01-01,4.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
