month,publication,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
2016-01,Business Insider,0.21153846153846154,0.019230769230769232,0.07692307692307693,0.11538461538461539,0.34615384615384615,0.057692307692307696,0.09615384615384616,0.07692307692307693,0.0,0.0
2016-01,CNBC,0.058823529411764705,0.05042016806722689,0.008403361344537815,0.11764705882352941,0.6554621848739496,0.058823529411764705,0.008403361344537815,0.04201680672268908,0.0,0.0
2016-01,CNN,0.05555555555555555,0.4166666666666667,0.07222222222222222,0.011111111111111112,0.027777777777777776,0.15555555555555556,0.16666666666666666,0.09444444444444444,0.0,0.0
2016-01,Economist,0.1894273127753304,0.06167400881057269,0.039647577092511016,0.048458149779735685,0.18502202643171806,0.17180616740088106,0.14537444933920704,0.07929515418502203,0.07048458149779736,0.00881057268722467
2016-01,Gizmodo,0.35542168674698793,0.006024096385542169,0.015060240963855422,0.2680722891566265,0.0391566265060241,0.012048192771084338,0.018072289156626505,0.286144578313253,0.0,0.0
2016-01,Hyperallergic,0.9310344827586207,0.0,0.0,0.0,0.0,0.0049261083743842365,0.0,0.009852216748768473,0.0,0.054187192118226604
2016-01,Mashable,0.2682926829268293,0.054878048780487805,0.27439024390243905,0.13414634146341464,0.04573170731707317,0.04573170731707317,0.07621951219512195,0.10060975609756098,0.0,0.0
2016-01,New Republic,0.1273344651952462,0.42784380305602715,0.1731748726655348,0.011884550084889643,0.01697792869269949,0.08149405772495756,0.11205432937181664,0.04923599320882852,0.0,0.0
2016-01,New Yorker,0.6559139784946236,0.06451612903225806,0.17204301075268819,0.010752688172043012,0.010752688172043012,0.021505376344086023,0.043010752688172046,0.010752688172043012,0.010752688172043012,0.0
2016-01,People,0.13526570048309178,0.028985507246376812,0.642512077294686,0.004830917874396135,0.0,0.004830917874396135,0.15942028985507245,0.00966183574879227,0.014492753623188406,0.0
2016-01,Politico,0.004273504273504274,0.8333333333333334,0.004273504273504274,0.008547008547008548,0.0,0.10256410256410256,0.03418803418803419,0.01282051282051282,0.0,0.0
2016-01,Refinery 29,0.31446540880503143,0.050314465408805034,0.4779874213836478,0.050314465408805034,0.012578616352201259,0.012578616352201259,0.05660377358490566,0.025157232704402517,0.0,0.0
2016-01,Reuters,0.02531645569620253,0.02531645569620253,0.08860759493670886,0.0379746835443038,0.5253164556962026,0.14556962025316456,0.0949367088607595,0.05063291139240506,0.006329113924050633,0.0
2016-01,TMZ,0.08653846153846154,0.009615384615384616,0.7259615384615384,0.009615384615384616,0.004807692307692308,0.0,0.14423076923076922,0.019230769230769232,0.0,0.0
2016-01,TechCrunch,0.061855670103092786,0.005154639175257732,0.010309278350515464,0.5773195876288659,0.30412371134020616,0.0,0.005154639175257732,0.03608247422680412,0.0,0.0
2016-01,The Hill,0.0,0.5987654320987654,0.0,0.037037037037037035,0.10493827160493827,0.16666666666666666,0.05555555555555555,0.037037037037037035,0.0,0.0
