date,publication,sentiment
2017-10-31,CNBC,-0.37005775211000885
2017-11-30,CNBC,-0.31472359058548727
2017-12-31,CNBC,-0.24180790960438317
2018-01-31,CNBC,-0.1768346595932021
2018-02-28,CNBC,-0.29841082989976553
2018-03-31,CNBC,-0.3575081357506474
2018-04-30,CNBC,-0.37494346449553373
2018-05-31,CNBC,-0.26495726495717437
2018-06-30,CNBC,-0.3448115402511192
2018-07-31,CNBC,-0.29186602870800704
2018-08-31,CNBC,-0.30572597136998686
2018-09-30,CNBC,-0.38675958188136467
2018-10-31,CNBC,-0.3005780346819361
2018-11-30,CNBC,-0.343999999999828
2018-12-31,CNBC,-0.46761947297879963
2019-01-31,CNBC,-0.3979871912166523
2019-02-28,CNBC,-0.39124487004090586
2019-03-31,CNBC,-0.47993019197195713
2019-04-30,CNBC,-0.38672237697298356
2019-05-31,CNBC,-0.469361147327147
2019-06-30,CNBC,-0.42492314968067507
2019-07-31,CNBC,-0.4248908296942303
2019-08-31,CNBC,-0.5141639508647495
2019-09-30,CNBC,-0.4540816326529454
2019-10-31,CNBC,-0.5079816313141245
2019-11-30,CNBC,-0.4278680452977775
2019-12-31,CNBC,-0.37702981989950485
2020-01-31,CNBC,-0.37328954570323664
2020-02-29,CNBC,-0.43388834475993293
2020-03-31,CNBC,-0.5728423475257599
2016-01-31,The Hill,-0.45388933440238416
2016-02-29,The Hill,-0.4340712223289538
2016-03-31,The Hill,-0.5004321521173292
2016-04-30,The Hill,-0.4184339314843318
2016-05-31,The Hill,-0.3370259906261879
2016-06-30,The Hill,-0.4625585023399132
2016-07-31,The Hill,-0.449859041481897
2016-08-31,The Hill,-0.4482448244822465
2016-09-30,The Hill,-0.5043205027492128
2016-10-31,The Hill,-0.4818241903501382
2016-11-30,The Hill,-0.37582903463508627
2016-12-31,The Hill,-0.4354940213969681
2017-01-31,The Hill,-0.5120026307134127
2017-02-28,The Hill,-0.5539315989475142
2017-03-31,The Hill,-0.471454404546507
2017-04-30,The Hill,-0.5322490185079831
2017-05-31,The Hill,-0.5305067218199249
2017-06-30,The Hill,-0.5892593685451197
2017-07-31,The Hill,-0.5232252410164993
2017-08-31,The Hill,-0.5954106280191439
2017-09-30,The Hill,-0.5259259259258002
2017-10-31,The Hill,-0.5470605270777449
2017-11-30,The Hill,-0.5721464465181688
2017-12-31,The Hill,-0.5785256410254865
2018-01-31,The Hill,-0.5584788328149823
2018-02-28,The Hill,-0.5824277456646052
2018-03-31,The Hill,-0.5498188405795856
2018-04-30,The Hill,-0.5493734335838222
2018-05-31,The Hill,-0.6144953312582003
2018-06-30,The Hill,-0.6322740404455979
2018-07-31,The Hill,-0.6262068965515801
2018-08-31,The Hill,-0.6593795544450011
2018-09-30,The Hill,-0.6760752688170528
2018-10-31,The Hill,-0.6787595084842952
2018-11-30,The Hill,-0.6262820512818505
2018-12-31,The Hill,-0.671972711767859
2019-01-31,The Hill,-0.6901683337397682
2019-02-28,The Hill,-0.6403107861058865
2019-03-31,The Hill,-0.6802102284211279
2019-04-30,The Hill,-0.6674400618714873
2019-05-31,The Hill,-0.676616915422756
2019-06-30,The Hill,-0.624303797468249
2019-07-31,The Hill,-0.6506370735715884
2019-08-31,The Hill,-0.612838008592213
2019-09-30,The Hill,-0.6761521027447303
2019-10-31,The Hill,-0.6821241585638216
2019-11-30,The Hill,-0.573238497443749
2019-12-31,The Hill,-0.6341039025601208
2020-01-31,The Hill,-0.5913120567374576
2020-02-29,The Hill,-0.5575053355464649
2020-03-31,The Hill,-0.6268333734069182
2016-01-31,People,-0.28629265471354176
2016-02-29,People,-0.14888337468973395
2016-03-31,People,-0.2916666666664979
2016-04-30,People,-0.17295873573294737
2016-05-31,People,-0.23313782991185253
2016-06-30,People,-0.3273871983209195
2016-07-31,People,-0.20939597315422187
2016-08-31,People,-0.3095975232196545
2016-09-30,People,-0.34997098084715617
2016-10-31,People,-0.19925857275245631
2016-11-30,People,-0.17006802721079536
2016-12-31,People,-0.18193069306919435
2017-01-31,People,-0.22300596852945034
2017-02-28,People,-0.08025603151153114
2017-03-31,People,-0.26288879420525657
2017-04-30,People,-0.12784398699884733
2017-05-31,People,-0.20904901550054084
2017-06-30,People,-0.2738853503183467
2017-07-31,People,-0.20880245649938137
2017-08-31,People,-0.1803278688523605
2017-09-30,People,-0.19329214474837011
2017-10-31,People,-0.3487999999998605
2017-11-30,People,-0.31391585760505103
2017-12-31,People,-0.1529289787453847
2018-01-31,People,-0.3156556483834669
2018-02-28,People,-0.20961281708935933
2018-03-31,People,-0.24036697247695396
2018-04-30,People,-0.22018691588776815
2018-05-31,People,-0.1790633608814605
2018-06-30,People,-0.4116523400189056
2018-07-31,People,-0.3352240499147276
2018-08-31,People,-0.2951991828394815
2018-09-30,People,-0.24454976303305945
2018-10-31,People,-0.24861321230446365
2018-11-30,People,-0.2843956043954794
2018-12-31,People,-0.2095639943740227
2019-01-31,People,-0.2803564797622427
2019-02-28,People,-0.24093357271086502
2019-03-31,People,-0.23391812865487305
2019-04-30,People,-0.2540216984660479
2019-05-31,People,-0.13360693114448993
2019-06-30,People,-0.21851667496255922
2019-07-31,People,-0.11071640023676098
2019-08-31,People,-0.19797744068448153
2019-09-30,People,-0.22380239520949707
2019-10-31,People,-0.21535022354686462
2019-11-30,People,-0.20833333333325144
2019-12-31,People,-0.2514619883038835
2016-01-31,CNN,-0.45363408521289045
2016-02-29,CNN,-0.4342840341074877
2016-03-31,CNN,-0.47228381374705386
2016-04-30,CNN,-0.5382215288609445
2016-05-31,CNN,-0.5320754716979307
2016-06-30,CNN,-0.5177684371415675
2016-07-31,CNN,-0.514568599716969
2016-08-31,CNN,-0.53610045343546
2016-09-30,CNN,-0.5769230769228857
2016-10-31,CNN,-0.5435911451214693
2016-11-30,CNN,-0.5340909090907194
2016-12-31,CNN,-0.5566399442312455
2017-01-31,CNN,-0.5137328339573927
2017-02-28,CNN,-0.549896049895907
2017-03-31,CNN,-0.5849999999998172
2017-04-30,CNN,-0.5636923076921343
2017-05-31,CNN,-0.6272574042859071
2017-06-30,CNN,-0.653320772491603
2017-07-31,CNN,-0.5596799999998209
2017-08-31,CNN,-0.5932293044166641
2017-09-30,CNN,-0.5530586766540097
2017-10-31,CNN,-0.5594231725508306
2017-11-30,CNN,-0.6217781639152558
2017-12-31,CNN,-0.5598845598843579
2018-01-31,CNN,-0.5867950481428922
2018-02-28,CNN,-0.641498881431588
2018-03-31,CNN,-0.5977850490811483
2018-04-30,CNN,-0.6180359852589165
2018-05-31,CNN,-0.565287049399048
2018-06-30,CNN,-0.5666116481960465
2018-07-31,CNN,-0.6004944375771074
2018-08-31,CNN,-0.6807291666664894
2018-09-30,CNN,-0.6072562358275266
2018-10-31,CNN,-0.5687112630902823
2018-11-30,CNN,-0.5400933389901272
2018-12-31,CNN,-0.5519713261647332
2019-01-31,CNN,-0.6186353329209197
2019-02-28,CNN,-0.5656382335147074
2019-03-31,CNN,-0.5972841077868454
2019-04-30,CNN,-0.5688527838318667
2019-05-31,CNN,-0.6081370449677715
2019-06-30,CNN,-0.5853007595974984
2019-07-31,CNN,-0.5922679253763559
2019-08-31,CNN,-0.6262990455990187
2019-09-30,CNN,-0.5433325629765325
2019-10-31,CNN,-0.5819268635723308
2019-11-30,CNN,-0.5995814440179283
2019-12-31,CNN,-0.5674331883156064
2020-01-31,CNN,-0.6049295774646822
2020-02-29,CNN,-0.48295454545445393
2020-03-31,CNN,-0.48498003125534206
2016-01-31,Refinery 29,-0.1994198694704863
2016-02-29,Refinery 29,-0.17189835575472953
2016-03-31,Refinery 29,-0.08301158301150288
2016-04-30,Refinery 29,-0.24493243243222557
2016-05-31,Refinery 29,-0.1426611796981189
2016-06-30,Refinery 29,-0.22024983563430622
2016-07-31,Refinery 29,-0.2017106200996424
2016-08-31,Refinery 29,-0.12772585669773973
2016-09-30,Refinery 29,-0.19461077844296812
2016-10-31,Refinery 29,-0.20529039677964042
2016-11-30,Refinery 29,-0.16115981119341796
2016-12-31,Refinery 29,-0.09665427509284698
2017-01-31,Refinery 29,-0.0631424375917459
2017-02-28,Refinery 29,-0.11483739837392538
2017-03-31,Refinery 29,-0.15962650066689213
2017-04-30,Refinery 29,-0.2180094786728997
2017-05-31,Refinery 29,-0.18834080717481752
2017-06-30,Refinery 29,-0.07011952191232267
2017-07-31,Refinery 29,-0.14394516374708913
2017-08-31,Refinery 29,-0.11006018916590281
2017-09-30,Refinery 29,-0.18297101449267075
2017-10-31,Refinery 29,-0.2975471027371854
2017-11-30,Refinery 29,-0.23890923890914167
2017-12-31,Refinery 29,-0.2031036056594235
2018-01-31,Refinery 29,-0.16159250585470633
2018-02-28,Refinery 29,-0.017176997759509205
2018-03-31,Refinery 29,-0.1643139469225498
2018-04-30,Refinery 29,-0.11073825503349512
2018-05-31,Refinery 29,-0.2897822445559521
