month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,date,sentiment,observation_date,GDP,publication_Buzzfeed News,publication_CNBC,publication_CNN,publication_Economist,publication_Fox News,publication_Gizmodo,publication_Hyperallergic,publication_Mashable,publication_New Republic,publication_New Yorker,publication_Politico,publication_Reuters,publication_The Hill,publication_The Verge,publication_Vice News,publication_Washington Post,publication_Wired
2016-02-01,0.19870935,0.30345094,0.18771191,0.3292079,0.2035725,0.24857101,0.3160885,0.34174266,0.5942895,0.25304094,2016-02-29,-0.3701177929323093,2016-02-01,100.0118,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-02-01,0.22039476,0.31326526,0.20721398,0.2606019,0.20769937,0.18667015,0.33084396,0.27259776,0.2820805,0.24926431,2016-02-29,-0.1487455197132172,2016-02-01,100.0118,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-02-01,0.28550875,0.28828302,0.37080124,0.23370121,0.42862552,0.20888144,0.3250219,0.31513143,0.25426295,0.28787506,2016-02-29,-0.3485593815881531,2016-02-01,100.0118,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-02-01,0.26833513,0.3497835,0.21263824,0.2477344,0.23681596,0.18843871,0.36581907,0.25290498,0.3623678,0.28698626,2016-02-29,-0.4107683000604132,2016-02-01,100.0118,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-02-01,0.288735,0.23869325,0.42224264,0.21091212,0.50493735,0.19937137,0.26384884,0.29543823,0.19817021,0.27404255,2016-02-29,-0.3393109957526334,2016-02-01,100.0118,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-02-01,0.16284184,0.16065143,0.17400832,0.18633807,0.17030904,0.32869902,0.15907902,0.20368129,0.1686386,0.23989616,2016-02-29,-0.4680086268867951,2016-02-01,100.0118,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-02-01,0.26399654,0.19081077,0.4291865,0.23324145,0.47188807,0.21550106,0.22569327,0.30222777,0.18954988,0.2715264,2016-02-29,-0.4340712223289538,2016-02-01,100.0118,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-02-01,0.19375658,0.2421458,0.20388451,0.3616246,0.1910089,0.23993365,0.31013998,0.3082335,0.24747401,0.24323863,2016-02-29,-0.1450629825273689,2016-02-01,100.0118,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-02-01,0.27216056,0.20427306,0.243781,0.19398831,0.252631,0.18369392,0.21664946,0.24556187,0.19793332,0.347774,2016-02-29,-0.6760288502332901,2016-02-01,100.0118,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-02-01,0.19435792,0.24215767,0.19965336,0.31122565,0.19703285,0.20359014,0.30756608,0.29640347,0.2561215,0.25830832,2016-02-29,-0.1194539249145398,2016-02-01,100.0118,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-03-01,0.31499895,0.2493475,0.28857315,0.20931001,0.2722095,0.16975914,0.2503736,0.27492985,0.2121579,0.28038445,2016-03-31,-0.6302816901407063,2016-03-01,99.96378,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-01,0.17277443,0.19332716,0.2080681,0.2482115,0.22640018,0.3815353,0.22254826,0.26526722,0.19957721,0.24261215,2016-03-31,-0.2293333333331804,2016-03-01,99.96378,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-01,0.3235171,0.2836004,0.32522026,0.22928196,0.32998288,0.195357,0.28493926,0.31402245,0.21534148,0.3308895,2016-03-31,-0.4722838137470538,2016-03-01,99.96378,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-01,0.20951982,0.2188234,0.24897373,0.23117326,0.28523326,0.2676759,0.2424127,0.27167845,0.24967548,0.30854762,2016-03-31,-0.487199684915225,2016-03-01,99.96378,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-03-01,0.22227974,0.2508406,0.22786935,0.36126417,0.20092425,0.20698519,0.32599077,0.31910896,0.28026912,0.29719946,2016-03-31,-0.2440665958199631,2016-03-01,99.96378,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-03-01,0.1981624,0.30534008,0.17906065,0.31920934,0.20115235,0.24713854,0.32269046,0.33767194,0.59311944,0.2434227,2016-03-31,-0.2830534351144174,2016-03-01,99.96378,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-03-01,0.2238406,0.29749092,0.20328093,0.27298948,0.19712046,0.18383236,0.32649776,0.27498314,0.2721026,0.25649992,2016-03-31,-0.2723449001050809,2016-03-01,99.96378,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-03-01,0.29388475,0.2679001,0.39582068,0.22661723,0.41866744,0.20311858,0.3035129,0.30291653,0.2347055,0.29632837,2016-03-31,-0.4403235124205152,2016-03-01,99.96378,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-03-01,0.25796223,0.34511495,0.22930685,0.24787505,0.26289845,0.2079207,0.36528873,0.26725826,0.36500737,0.2879173,2016-03-31,-0.3969612668520442,2016-03-01,99.96378,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-03-01,0.2866078,0.23793784,0.43180245,0.21088172,0.47213736,0.18956864,0.25915322,0.29059425,0.20186672,0.28775364,2016-03-31,-0.3857615894038936,2016-03-01,99.96378,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-03-01,0.1706377,0.14615284,0.16149786,0.18165962,0.15451798,0.31624788,0.14108527,0.20609853,0.16027725,0.23848855,2016-03-31,-0.494701617400728,2016-03-01,99.96378,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-03-01,0.27920046,0.1946667,0.4303577,0.23332563,0.4583412,0.21694726,0.23173997,0.302539,0.1905376,0.2830489,2016-03-31,-0.5004321521173292,2016-03-01,99.96378,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-03-01,0.18738219,0.2370968,0.19571832,0.37145334,0.18134013,0.23017529,0.31540862,0.30038792,0.2536636,0.23684694,2016-03-31,-0.0848069289065013,2016-03-01,99.96378,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-03-01,0.28344658,0.2045487,0.26677716,0.20045623,0.2522855,0.17889544,0.22031641,0.25530106,0.20924985,0.35035384,2016-03-31,-0.6814763231197297,2016-03-01,99.96378,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-03-01,0.18644206,0.23202847,0.20155688,0.32923207,0.18425266,0.20772164,0.31635597,0.29254854,0.2603095,0.2632678,2016-03-31,-0.0917431192659849,2016-03-01,99.96378,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-04-01,0.30397257,0.26659966,0.25023958,0.20959574,0.2520065,0.18698217,0.2559729,0.27061117,0.22474214,0.27657658,2016-04-30,-0.5527189175387918,2016-04-01,99.92219,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
